# %ECSV 0.9
# ---
# delimiter: ","
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: Phot, datatype: float64}
# - {name: Spec, datatype: float64}
Wavelength, Phot, Spec
0.4,0.55,0.7
0.409,0.55,0.7
0.417,0.55,0.7
0.426,0.55,0.7
0.434,0.55,0.7
0.443,0.55,0.7
0.452,0.55,0.7
0.46,0.55,0.7
0.469,0.55,0.7
0.477,0.55,0.7
0.486,0.55,0.7
0.495,0.55,0.7
0.503,0.55,0.7
0.512,0.55,0.7
0.521,0.55,0.7
0.529,0.55,0.7
0.538,0.55,0.7
0.546,0.55,0.7
0.555,0.55,0.7
0.564,0.55,0.7
0.572,0.55,0.7
0.581,0.55,0.7
0.589,0.55,0.7
0.598,0.55,0.7
0.607,0.55,0.7
0.615,0.55,0.7
0.624,0.55,0.7
0.632,0.55,0.7
0.641,0.55,0.7
0.65,0.55,0.7
0.658,0.55,0.7
0.667,0.55,0.7
0.675,0.55,0.7
0.684,0.55,0.7
0.693,0.55,0.7
0.701,0.55,0.7
0.71,0.55,0.7
0.719,0.55,0.7
0.727,0.55,0.7
0.736,0.55,0.7
0.744,0.55,0.7
0.753,0.55,0.7
0.762,0.55,0.7
0.77,0.55,0.7
0.779,0.55,0.7
0.787,0.55,0.7
0.796,0.55,0.7
0.805,0.55,0.7
0.813,0.55,0.7
0.822,0.55,0.7
0.83,0.55,0.7
0.839,0.55,0.7
0.848,0.55,0.7
0.856,0.55,0.7
0.865,0.55,0.7
0.873,0.55,0.7
0.882,0.55,0.7
0.891,0.55,0.7
0.899,0.55,0.7
0.908,0.55,0.7
0.917,0.55,0.7
0.925,0.55,0.7
0.934,0.55,0.7
0.942,0.55,0.7
0.951,0.55,0.7
0.96,0.55,0.7
0.968,0.55,0.7
0.977,0.55,0.7
0.985,0.55,0.7
0.994,0.55,0.7
1.003,0.55,0.7
1.011,0.55,0.7
1.02,0.55,0.7
1.028,0.55,0.7
1.037,0.55,0.7
1.046,0.55,0.7
1.054,0.55,0.7
1.063,0.55,0.7
1.071,0.55,0.7
1.08,0.55,0.7
1.089,0.55,0.7
1.097,0.55,0.7
1.106,0.55,0.7
1.115,0.55,0.7
1.123,0.55,0.7
