# %ECSV 0.9
# ---
# delimiter: ","
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: y, unit: micron, datatype: float64}
# - {name: x, unit: micron, datatype: float64}
Wavelength,y,x
0.95700,0.0,-412.4
0.95838,0.0,-410.7
0.95977,0.0,-409.1
0.96115,0.0,-407.4
0.96254,0.0,-405.8
0.96392,0.0,-404.1
0.96531,0.0,-402.5
0.96669,0.0,-400.9
0.96808,0.0,-399.3
0.96946,0.0,-397.7
0.97084,0.0,-396.1
0.97223,0.0,-394.5
0.97361,0.0,-392.9
0.97500,0.0,-391.3
0.97638,0.0,-389.8
0.97777,0.0,-388.2
0.97915,0.0,-386.6
0.98053,0.0,-385.1
0.98192,0.0,-383.6
0.98330,0.0,-382.0
0.98469,0.0,-380.5
0.98607,0.0,-379.0
0.98746,0.0,-377.5
0.98884,0.0,-376.0
0.99023,0.0,-374.5
0.99161,0.0,-373.0
0.99299,0.0,-371.5
0.99438,0.0,-370.0
0.99576,0.0,-368.6
0.99715,0.0,-367.1
0.99853,0.0,-365.6
0.99992,0.0,-364.2
1.00130,0.0,-362.7
1.00268,0.0,-361.3
1.00407,0.0,-359.9
1.00545,0.0,-358.4
1.00684,0.0,-357.0
1.00822,0.0,-355.6
1.00961,0.0,-354.2
1.01099,0.0,-352.8
1.01238,0.0,-351.4
1.01376,0.0,-350.0
1.01514,0.0,-348.6
1.01653,0.0,-347.2
1.01791,0.0,-345.8
1.01930,0.0,-344.4
1.02068,0.0,-343.0
1.02207,0.0,-341.7
1.02345,0.0,-340.3
1.02483,0.0,-339.0
1.02622,0.0,-337.6
1.02760,0.0,-336.3
1.02899,0.0,-334.9
1.03037,0.0,-333.6
1.03176,0.0,-332.2
1.03314,0.0,-330.9
1.03453,0.0,-329.6
1.03591,0.0,-328.3
1.03729,0.0,-327.0
1.03868,0.0,-325.6
1.04006,0.0,-324.3
1.04145,0.0,-323.0
1.04283,0.0,-321.7
1.04422,0.0,-320.4
1.04560,0.0,-319.1
1.04698,0.0,-317.9
1.04837,0.0,-316.6
1.04975,0.0,-315.3
1.05114,0.0,-314.0
1.05252,0.0,-312.8
1.05391,0.0,-311.5
1.05529,0.0,-310.2
1.05668,0.0,-309.0
1.05806,0.0,-307.7
1.05944,0.0,-306.5
1.06083,0.0,-305.2
1.06221,0.0,-304.0
1.06360,0.0,-302.7
1.06498,0.0,-301.5
1.06637,0.0,-300.3
1.06775,0.0,-299.0
1.06914,0.0,-297.8
1.07052,0.0,-296.6
1.07190,0.0,-295.4
1.07329,0.0,-294.2
1.07467,0.0,-293.0
1.07606,0.0,-291.7
1.07744,0.0,-290.5
1.07883,0.0,-289.3
1.08021,0.0,-288.1
1.08159,0.0,-286.9
1.08298,0.0,-285.8
1.08436,0.0,-284.6
1.08575,0.0,-283.4
1.08713,0.0,-282.2
1.08852,0.0,-281.0
1.08990,0.0,-279.9
1.09129,0.0,-278.7
1.09267,0.0,-277.5
1.09405,0.0,-276.3
1.09544,0.0,-275.2
1.09682,0.0,-274.0
1.09821,0.0,-272.9
1.09959,0.0,-271.7
1.10098,0.0,-270.6
1.10236,0.0,-269.4
1.10374,0.0,-268.3
1.10513,0.0,-267.1
1.10651,0.0,-266.0
1.10790,0.0,-264.9
1.10928,0.0,-263.7
1.11067,0.0,-262.6
1.11205,0.0,-261.5
1.11344,0.0,-260.3
1.11482,0.0,-259.2
1.11620,0.0,-258.1
1.11759,0.0,-257.0
1.11897,0.0,-255.9
1.12036,0.0,-254.8
1.12174,0.0,-253.6
1.12313,0.0,-252.5
1.12451,0.0,-251.4
1.12589,0.0,-250.3
1.12728,0.0,-249.2
1.12866,0.0,-248.1
1.13005,0.0,-247.1
1.13143,0.0,-246.0
1.13282,0.0,-244.9
1.13420,0.0,-243.8
1.13559,0.0,-242.7
1.13697,0.0,-241.6
1.13835,0.0,-240.5
1.13974,0.0,-239.5
1.14112,0.0,-238.4
1.14251,0.0,-237.3
1.14389,0.0,-236.3
1.14528,0.0,-235.2
1.14666,0.0,-234.1
1.14805,0.0,-233.1
1.14943,0.0,-232.0
1.15081,0.0,-230.9
1.15220,0.0,-229.9
1.15358,0.0,-228.8
1.15497,0.0,-227.8
1.15635,0.0,-226.7
1.15774,0.0,-225.7
1.15912,0.0,-224.7
1.16050,0.0,-223.6
1.16189,0.0,-222.6
1.16327,0.0,-221.5
1.16466,0.0,-220.5
1.16604,0.0,-219.5
1.16743,0.0,-218.4
1.16881,0.0,-217.4
1.17020,0.0,-216.4
1.17158,0.0,-215.4
1.17296,0.0,-214.3
1.17435,0.0,-213.3
1.17573,0.0,-212.3
1.17712,0.0,-211.3
1.17850,0.0,-210.3
1.17989,0.0,-209.3
1.18127,0.0,-208.2
1.18265,0.0,-207.2
1.18404,0.0,-206.2
1.18542,0.0,-205.2
1.18681,0.0,-204.2
1.18819,0.0,-203.2
1.18958,0.0,-202.2
1.19096,0.0,-201.2
1.19235,0.0,-200.2
1.19373,0.0,-199.2
1.19511,0.0,-198.2
1.19650,0.0,-197.3
1.19788,0.0,-196.3
1.19927,0.0,-195.3
1.20065,0.0,-194.3
1.20204,0.0,-193.3
1.20342,0.0,-192.3
1.20480,0.0,-191.4
1.20619,0.0,-190.4
1.20757,0.0,-189.4
1.20896,0.0,-188.4
1.21034,0.0,-187.5
1.21173,0.0,-186.5
1.21311,0.0,-185.5
1.21450,0.0,-184.6
1.21588,0.0,-183.6
1.21726,0.0,-182.6
1.21865,0.0,-181.7
1.22003,0.0,-180.7
1.22142,0.0,-179.8
1.22280,0.0,-178.8
1.22419,0.0,-177.9
1.22557,0.0,-176.9
1.22695,0.0,-176.0
1.22834,0.0,-175.0
1.22972,0.0,-174.1
1.23111,0.0,-173.1
1.23249,0.0,-172.2
1.23388,0.0,-171.2
1.23526,0.0,-170.3
1.23665,0.0,-169.3
1.23803,0.0,-168.4
1.23941,0.0,-167.5
1.24080,0.0,-166.5
1.24218,0.0,-165.6
1.24357,0.0,-164.7
1.24495,0.0,-163.8
1.24634,0.0,-162.8
1.24772,0.0,-161.9
1.24911,0.0,-161.0
1.25049,0.0,-160.0
1.25187,0.0,-159.1
1.25326,0.0,-158.2
1.25464,0.0,-157.3
1.25603,0.0,-156.4
1.25741,0.0,-155.5
1.25880,0.0,-154.5
1.26018,0.0,-153.6
1.26156,0.0,-152.7
1.26295,0.0,-151.8
1.26433,0.0,-150.9
1.26572,0.0,-150.0
1.26710,0.0,-149.1
1.26849,0.0,-148.2
1.26987,0.0,-147.3
1.27126,0.0,-146.4
1.27264,0.0,-145.5
1.27402,0.0,-144.6
1.27541,0.0,-143.7
1.27679,0.0,-142.8
1.27818,0.0,-141.9
1.27956,0.0,-141.0
1.28095,0.0,-140.1
1.28233,0.0,-139.2
1.28371,0.0,-138.3
1.28510,0.0,-137.4
1.28648,0.0,-136.6
1.28787,0.0,-135.7
1.28925,0.0,-134.8
1.29064,0.0,-133.9
1.29202,0.0,-133.0
1.29341,0.0,-132.1
1.29479,0.0,-131.3
1.29617,0.0,-130.4
1.29756,0.0,-129.5
1.29894,0.0,-128.6
1.30033,0.0,-127.8
1.30171,0.0,-126.9
1.30310,0.0,-126.0
1.30448,0.0,-125.2
1.30586,0.0,-124.3
1.30725,0.0,-123.4
1.30863,0.0,-122.6
1.31002,0.0,-121.7
1.31140,0.0,-120.8
1.31279,0.0,-120.0
1.31417,0.0,-119.1
1.31556,0.0,-118.3
1.31694,0.0,-117.4
1.31832,0.0,-116.5
1.31971,0.0,-115.7
1.32109,0.0,-114.8
1.32248,0.0,-114.0
1.32386,0.0,-113.1
1.32525,0.0,-112.3
1.32663,0.0,-111.4
1.32802,0.0,-110.6
1.32940,0.0,-109.7
1.33078,0.0,-108.9
1.33217,0.0,-108.0
1.33355,0.0,-107.2
1.33494,0.0,-106.4
1.33632,0.0,-105.5
1.33771,0.0,-104.7
1.33909,0.0,-103.8
1.34047,0.0,-103.0
1.34186,0.0,-102.2
1.34324,0.0,-101.3
1.34463,0.0,-100.5
1.34601,0.0,-99.7
1.34740,0.0,-98.8
1.34878,0.0,-98.0
1.35017,0.0,-97.2
1.35155,0.0,-96.3
1.35293,0.0,-95.5
1.35432,0.0,-94.7
1.35570,0.0,-93.9
1.35709,0.0,-93.0
1.35847,0.0,-92.2
1.35986,0.0,-91.4
1.36124,0.0,-90.6
1.36262,0.0,-89.7
1.36401,0.0,-88.9
1.36539,0.0,-88.1
1.36678,0.0,-87.3
1.36816,0.0,-86.5
1.36955,0.0,-85.7
1.37093,0.0,-84.8
1.37232,0.0,-84.0
1.37370,0.0,-83.2
1.37508,0.0,-82.4
1.37647,0.0,-81.6
1.37785,0.0,-80.8
1.37924,0.0,-80.0
1.38062,0.0,-79.2
1.38201,0.0,-78.4
1.38339,0.0,-77.6
1.38477,0.0,-76.8
1.38616,0.0,-76.0
1.38754,0.0,-75.2
1.38893,0.0,-74.4
1.39031,0.0,-73.6
1.39170,0.0,-72.8
1.39308,0.0,-72.0
1.39447,0.0,-71.2
1.39585,0.0,-70.4
1.39723,0.0,-69.6
1.39862,0.0,-68.8
1.40000,0.0,-68.0
1.40139,0.0,-67.2
1.40277,0.0,-66.4
1.40416,0.0,-65.6
1.40554,0.0,-64.8
1.40692,0.0,-64.0
1.40831,0.0,-63.3
1.40969,0.0,-62.5
1.41108,0.0,-61.7
1.41246,0.0,-60.9
1.41385,0.0,-60.1
1.41523,0.0,-59.3
1.41662,0.0,-58.6
1.41800,0.0,-57.8
1.41938,0.0,-57.0
1.42077,0.0,-56.2
1.42215,0.0,-55.4
1.42354,0.0,-54.7
1.42492,0.0,-53.9
1.42631,0.0,-53.1
1.42769,0.0,-52.3
1.42908,0.0,-51.6
1.43046,0.0,-50.8
1.43184,0.0,-50.0
1.43323,0.0,-49.2
1.43461,0.0,-48.5
1.43600,0.0,-47.7
1.43738,0.0,-46.9
1.43877,0.0,-46.2
1.44015,0.0,-45.4
1.44153,0.0,-44.6
1.44292,0.0,-43.9
1.44430,0.0,-43.1
1.44569,0.0,-42.4
1.44707,0.0,-41.6
1.44846,0.0,-40.8
1.44984,0.0,-40.1
1.45123,0.0,-39.3
1.45261,0.0,-38.5
1.45399,0.0,-37.8
1.45538,0.0,-37.0
1.45676,0.0,-36.3
1.45815,0.0,-35.5
1.45953,0.0,-34.8
1.46092,0.0,-34.0
1.46230,0.0,-33.3
1.46368,0.0,-32.5
1.46507,0.0,-31.8
1.46645,0.0,-31.0
1.46784,0.0,-30.3
1.46922,0.0,-29.5
1.47061,0.0,-28.8
1.47199,0.0,-28.0
1.47338,0.0,-27.3
1.47476,0.0,-26.5
1.47614,0.0,-25.8
1.47753,0.0,-25.0
1.47891,0.0,-24.3
1.48030,0.0,-23.6
1.48168,0.0,-22.8
1.48307,0.0,-22.1
1.48445,0.0,-21.3
1.48583,0.0,-20.6
1.48722,0.0,-19.9
1.48860,0.0,-19.1
1.48999,0.0,-18.4
1.49137,0.0,-17.6
1.49276,0.0,-16.9
1.49414,0.0,-16.2
1.49553,0.0,-15.4
1.49691,0.0,-14.7
1.49829,0.0,-14.0
1.49968,0.0,-13.2
1.50106,0.0,-12.5
1.50245,0.0,-11.8
1.50383,0.0,-11.1
1.50522,0.0,-10.3
1.50660,0.0,-9.6
1.50798,0.0,-8.9
1.50937,0.0,-8.1
1.51075,0.0,-7.4
1.51214,0.0,-6.7
1.51352,0.0,-6.0
1.51491,0.0,-5.3
1.51629,0.0,-4.5
1.51768,0.0,-3.8
1.51906,0.0,-3.1
1.52044,0.0,-2.4
1.52183,0.0,-1.6
1.52321,0.0,-0.9
1.52460,0.0,-0.2
1.52598,0.0,0.5
1.52737,0.0,1.2
1.52875,0.0,1.9
1.53014,0.0,2.7
1.53152,0.0,3.4
1.53290,0.0,4.1
1.53429,0.0,4.8
1.53567,0.0,5.5
1.53706,0.0,6.2
1.53844,0.0,6.9
1.53983,0.0,7.6
1.54121,0.0,8.4
1.54259,0.0,9.1
1.54398,0.0,9.8
1.54536,0.0,10.5
1.54675,0.0,11.2
1.54813,0.0,11.9
1.54952,0.0,12.6
1.55090,0.0,13.3
1.55229,0.0,14.0
1.55367,0.0,14.7
1.55505,0.0,15.4
1.55644,0.0,16.1
1.55782,0.0,16.8
1.55921,0.0,17.5
1.56059,0.0,18.2
1.56198,0.0,18.9
1.56336,0.0,19.6
1.56474,0.0,20.3
1.56613,0.0,21.0
1.56751,0.0,21.7
1.56890,0.0,22.4
1.57028,0.0,23.1
1.57167,0.0,23.8
1.57305,0.0,24.5
1.57444,0.0,25.2
1.57582,0.0,25.9
1.57720,0.0,26.6
1.57859,0.0,27.3
1.57997,0.0,27.9
1.58136,0.0,28.6
1.58274,0.0,29.3
1.58413,0.0,30.0
1.58551,0.0,30.7
1.58689,0.0,31.4
1.58828,0.0,32.1
1.58966,0.0,32.8
1.59105,0.0,33.5
1.59243,0.0,34.1
1.59382,0.0,34.8
1.59520,0.0,35.5
1.59659,0.0,36.2
1.59797,0.0,36.9
1.59935,0.0,37.6
1.60074,0.0,38.2
1.60212,0.0,38.9
1.60351,0.0,39.6
1.60489,0.0,40.3
1.60628,0.0,41.0
1.60766,0.0,41.6
1.60905,0.0,42.3
1.61043,0.0,43.0
1.61181,0.0,43.7
1.61320,0.0,44.3
1.61458,0.0,45.0
1.61597,0.0,45.7
1.61735,0.0,46.4
1.61874,0.0,47.0
1.62012,0.0,47.7
1.62150,0.0,48.4
1.62289,0.0,49.1
1.62427,0.0,49.7
1.62566,0.0,50.4
1.62704,0.0,51.1
1.62843,0.0,51.7
1.62981,0.0,52.4
1.63120,0.0,53.1
1.63258,0.0,53.8
1.63396,0.0,54.4
1.63535,0.0,55.1
1.63673,0.0,55.8
1.63812,0.0,56.4
1.63950,0.0,57.1
1.64089,0.0,57.7
1.64227,0.0,58.4
1.64365,0.0,59.1
1.64504,0.0,59.7
1.64642,0.0,60.4
1.64781,0.0,61.1
1.64919,0.0,61.7
1.65058,0.0,62.4
1.65196,0.0,63.0
1.65335,0.0,63.7
1.65473,0.0,64.4
1.65611,0.0,65.0
1.65750,0.0,65.7
1.65888,0.0,66.3
1.66027,0.0,67.0
1.66165,0.0,67.6
1.66304,0.0,68.3
1.66442,0.0,69.0
1.66580,0.0,69.6
1.66719,0.0,70.3
1.66857,0.0,70.9
1.66996,0.0,71.6
1.67134,0.0,72.2
